id,class_id,sentence,partition,labels,lang
0,Abfss.java,this impl delegates to the old filesystem,0,expand,JAVA
1,FileSystemApplicationHistoryStore.java,@link #applicationstarted applicationstartdata is supposed to,1,expand;pointer,JAVA
2,FileSystemApplicationHistoryStore.java,be invoked first when writing any history data of one application and it will,0,expand;pointer,JAVA
3,AbstractContractGetFileStatusTest.java,the tree parameters.,1,expand,JAVA
4,FileSystemApplicationHistoryStore.java,"open a file, while @link #applicationfinished applicationfinishdata is",0,expand;pointer,JAVA
5,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,1,expand,JAVA
6,FileSystemApplicationHistoryStore.java,supposed to be last writing operation and will close the file.,0,expand;pointer,JAVA
7,AbstractContractGetFileStatusTest.java,accept everything.,1,expand,JAVA
8,AbstractContractGetFileStatusTest.java,the tree parameters.,0,expand,JAVA
9,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,1,expand,JAVA
10,AbstractContractGetFileStatusTest.java,accept nothing.,0,expand,JAVA
11,TestCustomOauthTokenProvider.java,instead this just checks that the creation works and that everything,1,expand,JAVA
12,AbstractContractGetFileStatusTest.java,the tree parameters.,0,expand,JAVA
13,TestCustomOauthTokenProvider.java,is propagated.,1,expand,JAVA
14,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,0,expand,JAVA
15,AbstractContractGetFileStatusTest.java,path filter which only expects paths whose final name element,1,expand,JAVA
16,AbstractContractGetFileStatusTest.java,equals the @code match field.,0,expand,JAVA
17,AbstractContractGetFileStatusTest.java,the tree parameters.,1,expand,JAVA
18,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,0,expand,JAVA
19,AbstractContractGetFileStatusTest.java,a filesystem filter which exposes the protected method,1,expand,JAVA
20,AbstractContractGetFileStatusTest.java,"@link #listlocatedstatus path, pathfilter .",0,expand,JAVA
21,TestHDFSServerPorts.java,the correct behavior is br when a specific port is provided the server must either start on that port or fail by throwing @link java^net.bindexception .,1,expand,JAVA
22,TestHDFSServerPorts.java,br,0,expand,JAVA
23,TestHDFSServerPorts.java,if the port 0 ephemeral then the server should choose a free port and start on it.,1,expand,JAVA
24,AbstractS3ACommitterFactory.java,dynamically create the output committer based on subclass type and settings.,0,expand,JAVA
25,TestNativeAzureFileSystemUploadLogic.java,just an arbitrary number so that the values i write have a predictable,1,expand,JAVA
26,TestNativeAzureFileSystemUploadLogic.java,various scenarios to test in how often we flush data while uploading.,0,rational,JAVA
27,HttpHeaderConfigurations.java,responsible to keep all abfs http headers here.,1,expand,JAVA
28,ApplicationConstants.java,the type of launch for the container.,0,expand,JAVA
29,ApplicationConstants.java,environment for applications.,1,expand,JAVA
30,InconsistentS3ClientFactory.java,this client is for testing i only i it is in the production,0,usage,JAVA
31,InconsistentS3ClientFactory.java,@code hadoop aws module to enable integration tests to use this,1,usage,JAVA
32,InconsistentS3ClientFactory.java,just by editing the hadoop configuration used to bring up the client.,0,usage,JAVA
33,TestProtoBufRpc.java,this test depends on test^proto definition of types in src test proto,1,expand,JAVA
34,TestProtoBufRpc.java,and protobuf service definition from src test test rpc service^proto,0,expand,JAVA
35,AutoInputFormat.java,it can currently handle text and sequence files.,1,expand,JAVA
36,BalancingPolicy.java,cluster is balanced if each node is balanced.,0,rational,JAVA
37,BalancingPolicy.java,cluster is balanced if each pool in each node is balanced.,1,rational,JAVA
38,ITestCommitOperations.java,this is done with an inconsistent client.,0,usage,JAVA
39,TestSaveNamespace.java,cases covered,1,expand,JAVA
40,ITestS3Select.java,executed if the destination store declares its support for the feature.,0,expand,JAVA
41,TestSaveNamespace.java,ol,1,expand,JAVA
42,TestSaveNamespace.java,li recover from failure while saving into the second storage directory li,0,expand,JAVA
43,TestSaveNamespace.java,li recover from failure while moving current into lastcheckpoint^tmp li,1,expand,JAVA
44,TestSaveNamespace.java,li recover from failure while moving lastcheckpoint^tmp into,0,expand,JAVA
45,TestSaveNamespace.java,previous^checkpoint li,1,expand,JAVA
